Artist_and_Track_Name,France_Streams,Position
Niska - J'suis dans l'baye,6586211,155
Orelsan - Zone (feat. Nekfeu & Dizzee Rascal),6544594,156
Kaaris - Bling Bling,6512550,157
The Weeknd - Starboy,6506620,158
Djadja & Dinaz - Déstabilisé,6495748,159
DJ Sem - Mi Corazón,6418396,160
Bruno Mars - That's What I Like,6319410,161
Sofiane - Toka,6292564,162
Booba - 113,6284971,163
Orelsan - Christophe (feat. Maître Gims),6265008,164
Boostee - Pop Corn,6212177,165
Ninho - Roro,6156284,166
Sadek - La bise (feat. Brulux),6119041,167
Rilès - Brothers,6099603,168
Booba - Petite fille,6043016,169
Sia - Never Give Up,5974755,170
Avicii - Without You (feat. Sandro Cavazza),5954769,171
Mister V - Space Jam,5949969,172
Djadja & Dinaz - Maléfique,5935666,173
Kygo - First Time,5934273,174
Mister V - Top album,5923832,175
Orelsan - La pluie (feat. Stromae),5867374,176
Kygo - Stargazing,5845595,177
Vald - Vitrine,5833311,178
Naïve New Beaters - Heal Tomorrow,5805524,179
Booba - Drapeau noir,5777821,180
Ninho - Dis-moi que tu m'aimes,5745189,181
Orelsan - Paradis,5723274,182
Maroon 5 - Don't Wanna Know,5715204,183
Alice Merton - No Roots,5611043,184
SCH - 6.45i,5589291,185
Lacrim - Noche,5585357,186
Mike Posner - I Took A Pill In Ibiza - Seeb Remix,5564985,187
Orelsan - Quand est-ce que ça s'arrête,5550423,188
NF - Let You Down,5528636,189
Shawn Mendes - Mercy,5526782,190
Alonzo - Feu d'artifice,5511377,191
Sadek - En leuleu (feat. Niska),5508487,192
L'Algérino - Les menottes (Tching Tchang Tchong),5502125,193
Lacrim - La dolce vita,5501239,194
Damso - Λ. Lové,5411510,195
Niska - Snapchat,5409101,196
Sia - Cheap Thrills,5322077,197
Demi Lovato - Sorry Not Sorry,5316359,198
Martin Solveig - Places,5299323,199
Danny Ocean - Me Rehúso,5278156,200
Booba - Ridin',5264913,201
Djadja & Dinaz - C'est la même,5242856,202
Lartiste - Catchu Catchu,5201014,203
Naza - MMM,5196661,204
Booba - Trône,5169403,205
Orelsan - Bonne meuf,5137404,206
Bigflo & Oli - Alors alors,5127705,207
Lauv - I Like Me Better,5068445,208
Niska - Amour X,5036002,209
Justin Bieber - Friends (with BloodPop®),4998588,210
Maître Gims - Tout donner - Pilule Violette,4959914,211
Lomepal - Yeux disent,4938357,212
Bebe Rexha - I Got You,4883311,213
Kalash Criminel - Je ne comprends pas,4832826,214
Dosseh - PDCV (Pas dans cette vie),4829626,215
Niska - Ah bon ?,4819608,216
Sneazzy - Skurt Cobain,4814580,217
DTF - 100 rêves,4805938,218
Jul - Tchikita,4775127,219
SCH - Comme si,4762461,220
Booba - Daniel Sam,4741654,221
Ninho - Comme prévu,4733131,222
Naps - À part ça,4729260,223
Naps - Pochon bleu,4711362,224
Ninho - Lové (feat. Gradur),4705352,225
Selena Gomez - Wolves,4688086,226
A R I Z O N A - Oceans Away,4665260,227
Gradur - Oblah,4648093,228
Damso - Tueurs,4639366,229
Kungs - This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,4637608,230
Orelsan - La lumière,4572518,231
Niska - Versus,4569388,232
"Orelsan - Dans ma ville, on traîne",4568892,233
Imagine Dragons - Whatever It Takes,4567950,234
Major Lazer - Light It Up (feat. Nyla & Fuse ODG) - Remix,4557055,235
"Columbine - Pierre, feuille, papier, ciseaux",4551494,236
Migos - Bad and Boujee (feat. Lil Uzi Vert),4508608,237
Tess - Love Gun - Radio Edit,4502208,238
Soprano - Roule,4474172,239
Niska - La wewer,4471129,240
"Kaaris - Je suis gninnin, je suis bien",4456808,241
Maroon 5 - Cold,4426774,242
Hornet La Frappe - Maghrébin,4409167,243
Twenty One Pilots - Heathens,4408491,244
John Legend - Love Me Now,4406353,245
SCH - MAC 11,4395189,246
Damso - Η. Gova,4364623,247
DJ Snake - A Different Way (with Lauv),4350871,248
Louis Tomlinson - Back to You (feat. Bebe Rexha & Digital Farm Animals),4341767,249
Sadek - Andale (feat. Gradur),4337977,250
Post Malone - Congratulations,4315052,251
Niska - Twerk dans l'binks,4286514,252
21 Savage - Bank Account,4274373,253
Niska - Favélas,4269541,254
Sam Smith - Too Good At Goodbyes,4268822,255
Kaaris - Dozo,4200800,256
J Balvin - Mi Gente (feat. Beyoncé),4134452,257
Jul - Elle et l'autre,4109064,258
Shawn Mendes - Treat You Better,4104800,259
OneRepublic - Rich Love (with Seeb),4078584,260
Damso - Amnésie,4070535,261
HEDIA - Your Mind (feat. Kristen Marie),4061742,262
MØ - Final Song,4058426,263
Hornet La Frappe - Dead ça,4053607,264
Steve Aoki - Just Hold On,4040291,265
Feder - Lordly (feat. Alex Aiono),4009909,266
MC Fioti - Joga o Bum Bum Tamtam,3988679,267
Lacrim - Judy Moncada,3979583,268
S.Pri Noir - Highlander,3949129,269
G-Eazy - Good Life (with G-Eazy & Kehlani),3943005,270
Kaaris - Blow,3889260,271
Louane - On était beau,3825935,272
Booba - Bouyon,3820112,273
Kalash Criminel - Arrêt du cœur,3814886,274
The Chainsmokers - Closer,3813910,275
Hornet La Frappe - Double h,3805264,276
Macklemore - Good Old Days (feat. Kesha),3784596,277
S.Pri Noir - Skywalker,3781647,278
Booba - Centurion,3765058,279
4Keus Gang - O'KCLH,3699534,280
Soprano - Mon Everest - feat. Marina Kaye,3688711,281
Booba - Ça va aller,3686275,282
Ninho - Ce soir (feat. Alonzo),3676905,283
Niska - H&M,3674656,284
Charlie Puth - How Long,3634357,285
Alonzo - Bagarre,3593298,286
Nekfeu - Réalité augmentée,3559349,287
