Artist_and_Track_Name,Norway_Streams,Position
Zedd - Stay (with Alessia Cara),8750072,60
Alan Walker - The Spectre,8465473,61
Shawn Mendes - There's Nothing Holdin' Me Back,8197006,62
Camila Cabello - Havana,8116342,63
Starley - Call On Me - Ryan Riback Extended Remix,8108297,64
Maroon 5 - What Lovers Do (feat. SZA),8098715,65
Alan Walker - All Falls Down,7920745,66
Alok - Hear Me Now,7878779,67
Galantis - Hunter,7847670,68
G-Eazy - Good Life (with G-Eazy & Kehlani),7845542,69
Portugal. The Man - Feel It Still,7703380,70
Linda Vidala - Bængshot,7697549,71
Lil Uzi Vert - XO TOUR Llif3,7685338,72
JOWST - Grab The Moment,7652715,73
Matoma - Party On The West Coast (feat. Snoop Dogg),7626265,74
Justin Bieber - Friends (with BloodPop®),7593969,75
Morgan Sulele - Høyt over Oslo,7540590,76
Katy Perry - Chained To The Rhythm,7484096,77
J Balvin - Mi Gente,7234877,78
Lauv - I Like Me Better,7120867,79
Plumbo - Bade naken,7087243,80
Hearts & Colors - Lighthouse - Andrelli Remix,6981796,81
Freddy Kalas - Jovial,6893662,82
Alan Walker - Faded,6842314,83
Sigrid - Don't Kill My Vibe,6797354,84
Avicii - Lonely Together (feat. Rita Ora),6729230,85
Kygo - This Town,6726452,86
Demi Lovato - Sorry Not Sorry,6672915,87
The Weeknd - Starboy,6650245,88
Katastrofe - Om Alt Går Til Helvete,6626006,89
Freddy Kalas - Gjøre Ingenting,6597344,90
Harry Styles - Sign of the Times,6545008,91
Rita Ora - Your Song,6520413,92
Post Malone - Congratulations,6515909,93
Astrid S - Vi er perfekt men verden er ikke det,6494324,94
Louis Tomlinson - Back to You (feat. Bebe Rexha & Digital Farm Animals),6485639,95
LOKE - Kjærlighet er mer enn forelskelse,6475432,96
Liam Payne - Strip That Down,6404271,97
Ina Wroldsen - Strongest,6345384,98
Selena Gomez - Wolves,6220135,99
Calvin Harris - Slide,6062413,100
Sabrina Carpenter - Thumbs,5963754,101
Cheat Codes - No Promises (feat. Demi Lovato),5823473,102
Sia - Move Your Body - Alan Walker Remix,5725240,103
Vigiland - Friday Night,5707396,104
Ed Sheeran - Happier,5605063,105
Noah Cyrus - Make Me (Cry),5532948,106
The Vamps - All Night,5477564,107
Arif - Alene,5388809,108
Chris Holsten - MEXICO,5388011,109
XXXTENTACION - Jocelyn Flores,5351974,110
Petit Biscuit - Sunset Lover,5218309,111
Martin Garrix - There for You,5155454,112
P!nk - What About Us,5137432,113
JCY - Wasting Your Time (feat. Alida),5118218,114
Bebe Rexha - Meant to Be (feat. Florida Georgia Line),5066762,115
Klingande - Pumped Up,4956662,116
Sage The Gemini - Now and Later,4943967,117
Moon Taxi - Two High,4896053,118
Hkeem - Urettferdig,4791956,119
Snakehips - Don't Leave,4772969,120
Matoma - Girl At Coachella (with Matoma & MAGIC! feat. DRAM),4766097,121
Drake - Passionfruit,4729805,122
Tungevaag & Raaban - Wake Up Alone,4659751,123
Sam Smith - Too Good At Goodbyes - Edit,4628998,124
Davai - Replay,4601309,125
Joakim Lundell - All I Need,4575818,126
Jon Bellion - All Time Low,4545220,127
Broiler - Amazing,4529168,128
Bruno Mars - That's What I Like,4523747,129
The Chainsmokers - Closer,4519701,130
Adele - When We Were Young,4460322,131
Disturbed - The Sound Of Silence,4453185,132
Kamferdrops - Jag trodde änglarna fanns,4438547,133
James TW - When You Love Someone,4402016,134
Benjamin Beats - Dill Dall (feat. Lothepus & Pilgaard),4300134,135
Cezinando - Vi er perfekt men verden er ikke det,4298976,136
