Artist_and_Track_Name,Lithuania_Streams,Position
Offset - Ric Flair Drip (& Metro Boomin),31039,200
Katy Perry - Bon Appétit,30684,201
Camila Cabello - OMG,30317,202
Cashmere Cat - Trust Nobody (feat. Selena Gomez & Tory Lanez),29737,203
Sigala - Came Here for Love,28895,204
Ariana Grande - Santa Tell Me,28546,205
Alessia Cara - Scars To Your Beautiful,28267,206
Sabrina Carpenter - Thumbs,27877,207
JOWST - Grab The Moment,27728,208
Sam Smith - Pray,26676,209
Taylor Swift - ...Ready For It?,26626,210
Jason Derulo - Tip Toe (feat. French Montana),25758,211
Salvador Sobral - Amar pelos Dois,25678,212
Bebe Rexha - Bad Bitch (feat. Ty Dolla $ign),25553,213
Bing Crosby - White Christmas,25428,214
Hailee Steinfeld - Starving,25422,215
Ed Sheeran - Happier,25080,216
Kendrick Lamar - ELEMENT.,24169,217
Calvin Harris - My Way,23725,218
Michael Bublé - It's Beginning To Look A Lot Like Christmas,23494,219
Kristian Kostov - Beautiful Mess,23198,220
Martin Garrix - In the Name of Love,22959,221
Zara Larsson - TG4M,22877,222
Kendrick Lamar - LOVE. FEAT. ZACARI.,22000,223
Camila Cabello - Real Friends,21869,224
MAX - Lights Down Low,21808,225
Lil Xan - Betrayed,21673,226
Big Shaq - Man's Not Hot,21578,227
Bruno Mars - 24K Magic,21570,228
Anita Kerr Singers - Jingle Bell Rock,21383,229
Bing Crosby - Winter Wonderland,21243,230
Burl Ives - A Holly Jolly Christmas - Single Version,20956,231
BTS - DNA,20815,232
Robin Bengtsson - I Can´t Go On,19886,233
Calvin Harris - Heatstroke,19380,234
Maroon 5 - Help Me Out (with Julia Michaels),19361,235
Cash Cash - All My Love (feat. Conor Maynard),18967,236
Ariana Grande - Side To Side,18827,237
BTS - MIC Drop (feat. Desiigner) [Steve Aoki Remix],18669,238
Ed Sheeran - What Do I Know?,18544,239
LANY - Super Far,18350,240
Migos - Bad and Boujee (feat. Lil Uzi Vert),18117,241
Kendrick Lamar - PRIDE.,17916,242
G-Eazy - Some Kind Of Drug,17882,243
Drake - Portland,17429,244
Loote - High Without Your Love,17124,245
Lauv - Easy Love,17069,246
Chris Rea - Driving Home For Christmas,16970,247
Bobby Helms - Jingle Bell Rock,16805,248
Nat King Cole - The Christmas Song (Merry Christmas To You),16747,249
Perry Como - It's Beginning to Look a Lot Like Christmas,16711,250
Thomas Gold - Magic,16624,251
Jax Jones - Instruction (feat. Demi Lovato & Stefflon Don),16569,252
Ed Sheeran - Dive,16555,253
Donny Montell - Nieko Verta,16492,254
Mykola Dmytrovych Leontovych - Carol of the Bells,15630,255
Kendrick Lamar - XXX. FEAT. U2.,15436,256
Sia - Santa's Coming For Us,15166,257
John Lennon - Happy Xmas (War Is Over) - 2010 Digital Remaster,15095,258
Post Malone - Go Flex,14602,259
Michael Bublé - Holly Jolly Christmas,14566,260
Kendrick Lamar - FEEL.,13857,261
Sam Hunt - Body Like A Back Road,13534,262
Kendrick Lamar - YAH.,13472,263
Vince Guaraldi Trio - Christmas Time Is Here - Vocal,13329,264
Ed Sheeran - New Man,13234,265
Elvis Presley - Blue Christmas,13049,266
Lana Del Rey - Love,12957,267
Kendrick Lamar - LUST.,12713,268
Ed Sheeran - How Would You Feel (Paean),12522,269
Francesco Gabbani - Occidentali's Karma - Radio Edit,11720,270
Camila Cabello - Havana - Remix,11362,271
Twenty One Pilots - Heathens,11347,272
Dua Lipa - Be The One,11048,273
Felix Jaehn - Hot2Touch,10888,274
Liam Payne - Bedroom Floor,10763,275
Kygo - Kids in Love,10655,276
Lil Uzi Vert - The Way Life Goes (feat. Oh Wonder),10602,277
Cardi B - Bartier Cardi (feat. 21 Savage),10157,278
Nevada - The Mack,10157,279
Cheat Codes - Feels Great (feat. Fetty Wap & CVBZ),10144,280
DJ Khaled - Don't Quit,9991,281
Drake - Get It Together,9903,282
Kendrick Lamar - All The Stars (with SZA),9632,283
Coldplay - Christmas Lights,9611,284
Justin Bieber - Mistletoe,9593,285
