Artist_and_Track_Name,Germany_Streams,Position
Nico Santos - Goodbye To Love,3138145,407
Fifth Harmony - Work from Home,3112703,408
Macklemore - Good Old Days (feat. Kesha),3109920,409
James Arthur - Naked,3102153,410
A R I Z O N A - Oceans Away,3093177,411
Lil' Kleine - Stoff und Schnaps,3081280,412
Katy Perry - Bon appétit,3075668,413
RAF Camora - Roots,3066531,414
Post Malone - Candy Paint,3056979,415
Eminem - Without Me,3044403,416
Offset - Ric Flair Drip (& Metro Boomin),3037263,417
KC Rebell - Outta Control (feat. Hamza),3020904,418
Azet - Qa bone,3002049,419
Bryan Adams - Christmas Time,2982098,420
The Chainsmokers - All We Know,2981704,421
Trettmann - Grauer Beton,2961315,422
257ers - Holland,2950938,423
Nicky Jam - El Amante,2950812,424
Britney Spears - My Only Wish (This Year),2950345,425
Trailerpark - Sterben kannst du überall,2949252,426
Lorde - Homemade Dynamite - REMIX,2948754,427
Kollegah - Jagdsaison,2932378,428
Calvin Harris - Rollin,2923751,429
Ed Sheeran - Photograph,2884534,430
Zuna - Original,2868003,431
RIN - Doverstreet,2861702,432
Topic - Break My Habits,2849728,433
Bushido - Moonwalk,2844681,434
Alan Walker - All Falls Down,2827020,435
Drake - Portland,2817564,436
Mert - Boxerschnitt,2808547,437
Band Aid 30 - Do They Know It's Christmas? - 2014,2797602,438
Shawn Hook - Reminding Me,2787465,439
Ufo361 - Scheiß auf eure Party,2785670,440
257ers - Holz,2777982,441
Ufo361 - 1 Schuss,2773721,442
Mert - Groupie,2761314,443
Lost Frequencies - What Is Love 2016,2735357,444
187 Strassenbande - 30er Zone,2714462,445
MØ - Final Song,2710499,446
Savas - Royal Bunker,2697563,447
Bushido - Echte Berliner,2680480,448
Miami Yacine - Daytona,2669894,449
187 Strassenbande - 24/7,2651675,450
FRENSHIP - Capsize,2645780,451
Kollegah - Frontload,2601280,452
187 Strassenbande - Was ist passiert?!,2598350,453
Childish Gambino - Redbone,2595538,454
Luciano - Jagen die Mio,2594218,455
Nash - Grande,2576865,456
James Hersey - Miss You,2572732,457
Bausa - Baron,2570649,458
José Feliciano - Feliz Navidad,2570487,459
Band Aid - Do They Know It's Christmas? - 1984 Version,2561895,460
David Guetta - Dirty Sexy Money (feat. Charli XCX & French Montana),2557070,461
Michael Bublé - White Christmas (Duet With Shania Twain),2551398,462
Hearts & Colors - Lighthouse - Andrelli Remix,2532287,463
SRTW - Whispering Still (feat. Charity Children) - Little Rose Remix,2520338,464
Kollegah - Eines Tages,2513936,465
Kelly Clarkson - Underneath the Tree,2511316,466
Andy Grammer - Fresh Eyes,2507127,467
Sarah Connor - The Best Side Of Life,2495093,468
Luciano - Flex,2478982,469
187 Strassenbande - Zeit ist Geld,2478704,470
Kontra K - Gift (feat. BTNG & AK Ausser Kontrolle),2472737,471
Maxwell - 100k,2467732,472
Bushido - Black Friday,2459925,473
Olexesh - MOB,2455500,474
Twenty One Pilots - Ride,2436453,475
Kurdo - Desert Eagle,2434490,476
Mike Singer - Deja Vu,2411910,477
KC Rebell - Erdbeerwoche (feat. Elias),2404225,478
Ed Sheeran - Hearts Don't Break Around Here,2390457,479
187 Strassenbande - Meine Message,2377844,480
"Ingo ohne Flamingo - Saufen morgens, mittags, abends",2361737,481
Maxwell - Stress mit mir,2329466,482
"*NSYNC - Merry Christmas, Happy Holidays",2324093,483
Coldplay - Christmas Lights,2321093,484
Bonez MC - Großes Kaliber,2315624,485
Kollegah - Die letzte Gangsterrapcrew,2314909,486
Kianush - Chill mal dein Leben (feat. Moe Phoenix),2271160,487
Meghan Trainor - I'll Be Home,2268206,488
Stanaj - Romantic - NOTD Remix,2252325,489
187 Strassenbande - Ballermann,2238236,490
Kollegah - Massephase,2229376,491
Calum Scott - Dancing On My Own,2226619,492
Zedd - Get Low (with Liam Payne),2224130,493
Lord Huron - The Night We Met,2222086,494
KC Rebell - Tabasco,2164619,495
Andreas Gabalier - Hulapalu,2144085,496
Pitbull - Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,2141827,497
Kendrick Lamar - LOYALTY. FEAT. RIHANNA.,2132171,498
Kollegah - Warlordz,2118206,499
Trettmann - GottSeiDank,2111230,500
KALIM - 38,2111083,501
"Wale - My Love (feat. Major Lazer, WizKid, Dua Lipa)",2090114,502
ZAYN - Still Got Time,2086586,503
Migos - MotorSport,2082067,504
Rudimental - Sun Comes Up,2077834,505
Metrickz - WEIHRAUCH,2066107,506
Nimo - Michelangelo,2064839,507
Luciano - Gauner in Lacoste,2051619,508
Ed Sheeran - I See Fire,2039956,509
187 Strassenbande - Intro,2031251,510
Lena - Lost In You,2028983,511
Kollegah - In jeder deutschen Großstadt,2028897,512
Hitimpulse - I'm in Love with the Coco,2021897,513
Ed Sheeran - Bibia Be Ye Ye,2020156,514
Jane XØ - Love Me,2014429,515
Beginner - Meine Posse,2013277,516
Dante Klein - Let Me Hold You (Turn Me On),2004992,517
Drake - Blem,2000259,518
Cro - tru,1985875,519
JAY Z - Numb / Encore,1979976,520
Sia - Move Your Body - Alan Walker Remix,1940420,521
Katy Perry - Bon Appétit,1889281,522
Ed Sheeran - Thinking Out Loud,1872202,523
Zara Larsson - Ain't My Fault,1865446,524
187 Strassenbande - 10 Dinger,1854790,525
Kollegah - Älter brutaler skrupelloser (Outro),1842307,526
Sa4 - Rush Hour,1837346,527
Sam Smith - Have Yourself A Merry Little Christmas,1822451,528
The Weeknd - Party Monster,1800211,529
Casper - Keine Angst,1786152,530
"G-Eazy - Me, Myself & I",1771611,531
Ed Sheeran - Save Myself,1754674,532
Travis Scott - goosebumps,1749704,533
Isaiah - It's Gotta Be You,1742091,534
Kollegah - Einer von Millionen (feat. Motrip),1735127,535
Hanybal - Vanilla Sky,1727963,536
PA Sports - Mörder,1709224,537
Stereoact - Nummer Eins,1703046,538
RAF Camora - Anthrazit,1696608,539
Miley Cyrus - Rockin' Around The Christmas Tree - Recorded at Spotify Studios NYC,1683710,540
Capital Bra - Ala'ba'ba,1676910,541
187 Strassenbande - International,1645307,542
"gnash - i hate u, i love u (feat. olivia o'brien)",1633702,543
Gwen Stefani - You Make It Feel Like Christmas (feat. Blake Shelton),1629554,544
Justin Bieber - Love Yourself,1628954,545
Kesha - Praying,1609367,546
Laruzo - 247,1606970,547
Linkin Park - What I've Done,1606537,548
Joshi Mizu - Chardonnay,1605850,549
RIN - Nightlife,1591176,550
Eno - Massari,1589534,551
Macklemore - Marmalade (feat. Lil Yachty),1577123,552
Eminem - Believe,1572986,553
Kollegah - Legacy,1563937,554
Justin Bieber - Sorry,1560524,555
KC Rebell - Maximum,1551728,556
Noah Cyrus - Make Me (Cry),1528589,557
Drake - Get It Together,1526732,558
